produit_id,modele,mae,rmse,mape,classe_abc,classe_xyz,classe_abc_xyz
P0023,lstm,28.4897617478879,30.749451950484,438.0388582727954,A,Y,AY
P0024,lstm,10.523345126132973,11.300322762444193,81.74366895358833,A,Y,AY
P0105,lstm,7.788697329741566,9.074077016715357,55.073748632598786,A,X,AX
P0021,obsolete,,,,A,Y,AY
P0110,lstm,7.608904358172026,9.138896875864594,72.4063311056943,A,X,AX
P0025,lstm,12.061768786729589,13.073811175548842,158.96950413840844,A,Y,AY
P0104,lstm,8.160661715796985,10.373203658460033,69.29493218353997,A,X,AX
P0080,lstm,3.114093491022597,4.086852442276836,46.69111620809143,A,Y,AY
P0020,obsolete,,,,A,Y,AY
P0017,obsolete,,,,A,Y,AY
P0094,lstm,9.308857819694042,10.54420935802518,61.430525172617834,A,X,AX
P0043,lstm,2.1926169665828463,2.477716807174958,39.51206333475092,A,Y,AY
P0037,lstm,9.192652452714311,9.825337999401395,187.42897395886533,A,X,AX
P0051,lstm,3.8762443382088385,4.696644434848598,177.67338675893043,A,Y,AY
P0014,lstm,12.574637230334217,17.074302771266446,45.68328610627022,A,Y,AY
P0016,croston,16.068901333333333,16.979201128711484,81.8584699246773,A,Y,AY
P0073,obsolete,,,,A,Y,AY
P0107,lstm,13.57406253112117,15.406440838887923,185.22137326584243,A,Y,AY
P0192,lstm,4.2632061417276566,6.523895116424776,47.8247237385435,A,Y,AY
P0002,lstm,18.333310366697066,21.03322175035601,55.64238389309065,A,Y,AY
P0072,lstm,1.549677464972148,2.102653167067107,32.52829466513486,A,X,AX
P0091,lstm,5.371362384235475,6.137999768356252,316.6066475796838,A,Y,AY
P0098,lstm,8.436915346302214,10.96063900948092,68.53946474630949,A,X,AX
P0115,lstm,7.979379317898,9.248392013872763,69.33758920870324,A,X,AX
P0092,lstm,2.9422750718619697,3.139739811068475,60.6885951733228,A,Y,AY
P0078,croston,9.569969333333335,10.792275104436014,582.8719866522367,A,Y,AY
P0088,lstm,1.8696349152281329,2.663008276169785,114.38752448469167,A,Y,AY
P0069,obsolete,,,,A,X,AX
P0190,lstm,4.256234352209478,5.106514312752612,112.0675917821144,A,X,AX
P0015,lstm,4.329411957147822,4.849657185631954,64.4966102088139,A,Z,AZ
P0068,obsolete,,,,A,Y,AY
P0046,lstm,3.0827246287615098,3.506887101581565,47.80036021084253,A,Y,AY
P0004,obsolete,,,,A,Y,AY
P0013,obsolete,,,,A,Y,AY
P0012,obsolete,,,,A,Y,AY
P0008,obsolete,,,,A,Y,AY
P0022,obsolete,,,,A,Y,AY
P0044,lstm,5.469502247559999,5.99676878168053,222.9196717382087,A,Y,AY
P0178,lstm,11.78724032184043,13.18978672036134,72.59261672947837,A,X,AX
P0062,lstm,2.460627711052526,3.1341422250315927,37.60258522089163,A,Y,AY
P0188,lstm,5.260484616486476,5.832157960267165,87.60822283181146,A,X,AX
P0067,obsolete,,,,A,Y,AY
P0052,lstm,2.8205885217529634,3.043818051088035,281.39193680513597,A,Y,AY
P0222,lstm,2.2864336994827785,2.654818291378311,26.45249405807317,A,X,AX
P0071,obsolete,,,,A,Y,AY
P0076,lstm,2.522261496392026,2.8290255590618703,185.8526090783777,A,Y,AY
P0045,lstm,2.57932748467531,3.289300133329533,88.97007501479997,A,Y,AY
